,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
829,Middle School,Canary Forest,4eA8gVCly3GDGKfAnQsoBM,16,0.761,0.082,7,-15.467,0,0.0775,0.229,0.822,0.224,0.503,84.022,audio_features,spotify:track:4eA8gVCly3GDGKfAnQsoBM,https://api.spotify.com/v1/tracks/4eA8gVCly3GDGKfAnQsoBM,https://api.spotify.com/v1/audio-analysis/4eA8gVCly3GDGKfAnQsoBM,137154,4
830,Sech,La Luz,5zj8WNkBrEzlI5FKeYV4ol,83,0.665,0.697,9,-4.819,0,0.154,0.427,1.39e-05,0.599,0.556,94.053,audio_features,spotify:track:5zj8WNkBrEzlI5FKeYV4ol,https://api.spotify.com/v1/tracks/5zj8WNkBrEzlI5FKeYV4ol,https://api.spotify.com/v1/audio-analysis/5zj8WNkBrEzlI5FKeYV4ol,216747,4
831,Nymano,False Hope,4HZ8NCMWAY45EwzGaihqN5,17,0.757,0.261,9,-11.532,1,0.129,0.15,0.783,0.088,0.048,169.711,audio_features,spotify:track:4HZ8NCMWAY45EwzGaihqN5,https://api.spotify.com/v1/tracks/4HZ8NCMWAY45EwzGaihqN5,https://api.spotify.com/v1/audio-analysis/4HZ8NCMWAY45EwzGaihqN5,164000,4
832,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,76,0.803,0.759,7,-4.692,0,0.0494,0.00509,0.0,0.0921,0.284,104.0,audio_features,spotify:track:0JjM9bKm4wrwohMslcm892,https://api.spotify.com/v1/tracks/0JjM9bKm4wrwohMslcm892,https://api.spotify.com/v1/audio-analysis/0JjM9bKm4wrwohMslcm892,213308,4
833,G Mills,Harvest,2Qe9Hpwda5pbWAZGg6dMOe,17,0.6,0.316,8,-10.502,0,0.0496,0.176,0.921,0.1,0.51,80.066,audio_features,spotify:track:2Qe9Hpwda5pbWAZGg6dMOe,https://api.spotify.com/v1/tracks/2Qe9Hpwda5pbWAZGg6dMOe,https://api.spotify.com/v1/audio-analysis/2Qe9Hpwda5pbWAZGg6dMOe,120457,4
834,YUNGBLUD,acting like that (feat. Machine Gun Kelly),6PxNpy8jOjyZ8aGCD58LpW,74,0.522,0.9,0,-2.631,0,0.0719,6.98e-05,0.0,0.3,0.579,160.01,audio_features,spotify:track:6PxNpy8jOjyZ8aGCD58LpW,https://api.spotify.com/v1/tracks/6PxNpy8jOjyZ8aGCD58LpW,https://api.spotify.com/v1/audio-analysis/6PxNpy8jOjyZ8aGCD58LpW,191067,4
835,Astrid S,Years,6jCOvlORD28a7e1rgZJYWD,21,0.664,0.285,9,-7.907,1,0.0341,0.86,0.0,0.0952,0.256,124.13,audio_features,spotify:track:6jCOvlORD28a7e1rgZJYWD,https://api.spotify.com/v1/tracks/6jCOvlORD28a7e1rgZJYWD,https://api.spotify.com/v1/audio-analysis/6jCOvlORD28a7e1rgZJYWD,190268,4
836,Moneybagg Yo,Me Vs Me,1lUTmmPMAsxZBR2iK9CKDF,69,0.853,0.821,5,-4.537,0,0.209,0.205,0.0,0.209,0.625,130.999,audio_features,spotify:track:1lUTmmPMAsxZBR2iK9CKDF,https://api.spotify.com/v1/tracks/1lUTmmPMAsxZBR2iK9CKDF,https://api.spotify.com/v1/audio-analysis/1lUTmmPMAsxZBR2iK9CKDF,183319,4
837,Omnia,Escape The Night (FYHYM2020),1O8KbqMHcpbCjTXAvsr58K,18,0.468,0.955,9,-5.613,1,0.0492,0.00142,0.00104,0.533,0.363,129.111,audio_features,spotify:track:1O8KbqMHcpbCjTXAvsr58K,https://api.spotify.com/v1/tracks/1O8KbqMHcpbCjTXAvsr58K,https://api.spotify.com/v1/audio-analysis/1O8KbqMHcpbCjTXAvsr58K,67156,4
838,jxdn,Angels & Demons,4GUj9MfPPkjpZskxb45uiX,74,0.554,0.8,8,-3.936,1,0.0395,0.119,0.0,0.629,0.463,115.056,audio_features,spotify:track:4GUj9MfPPkjpZskxb45uiX,https://api.spotify.com/v1/tracks/4GUj9MfPPkjpZskxb45uiX,https://api.spotify.com/v1/audio-analysis/4GUj9MfPPkjpZskxb45uiX,160120,4
839,Christopher McGinnis,New Years Eve 2020,3i9UvP2kpGYO0spw0cO9kc,12,0.383,0.0533,0,-30.581,0,0.0354,0.93,0.947,0.101,0.0385,85.032,audio_features,spotify:track:3i9UvP2kpGYO0spw0cO9kc,https://api.spotify.com/v1/tracks/3i9UvP2kpGYO0spw0cO9kc,https://api.spotify.com/v1/audio-analysis/3i9UvP2kpGYO0spw0cO9kc,172381,4
840,Rauw Alejandro,Reloj,7r9ZhitdQBONTFOiJW5mr8,87,0.823,0.537,8,-2.639,1,0.209,0.176,3.98e-06,0.123,0.615,175.946,audio_features,spotify:track:7r9ZhitdQBONTFOiJW5mr8,https://api.spotify.com/v1/tracks/7r9ZhitdQBONTFOiJW5mr8,https://api.spotify.com/v1/audio-analysis/7r9ZhitdQBONTFOiJW5mr8,231595,4
841,Stefan Nilsson,In the Night of New Year's Eve - The 2020 Version,2HO4QufOAPUdnHH9Tj9hpS,23,0.417,0.304,8,-7.647,1,0.0322,0.898,4.12e-06,0.124,0.214,119.221,audio_features,spotify:track:2HO4QufOAPUdnHH9Tj9hpS,https://api.spotify.com/v1/tracks/2HO4QufOAPUdnHH9Tj9hpS,https://api.spotify.com/v1/audio-analysis/2HO4QufOAPUdnHH9Tj9hpS,224027,4
842,Billie Eilish,No Time To Die,73SpzrcaHk0RQPFP73vqVR,78,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,spotify:track:73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4
